TP,TN,FP,FN,R,P,F1
14204,31036.864,3752,19167.136,0.42563729325846145,0.7910447761194029,0.5534694162557598
18769,25374.72,0,32656.28,0.3649761362504978,1.0,0.5347729188190263
3760,50505.6,2640,19894.4,0.15895562770562768,0.5875,0.2502129471890971
9514,27357.950399999998,12986,673.0496000000021,0.9339308606095329,0.42284444444444447,0.5821265679481821
13398,37168.112,17578,15.88800000000083,0.9988155559372495,0.4325284090909091,0.6036509936677471
22366,144190.53600000002,22155,84568.46399999999,0.20915614258841753,0.5023696682464455,0.29534754850442374
50176,466052.096,0,112891.90399999998,0.307700036421637,1.0,0.4705972743774191
3696,166911.84000000003,25204,77468.15999999999,0.04553734061930784,0.12788927335640138,0.06716082692131571
14036,22206.684,605,13398.315999999999,0.5116220138311449,0.9586776859504132,0.667184531662222
24926,17626.48000000001,17510,8097.519999999997,0.7547953700877436,0.587378640776699,0.6606456017743022
22044,31249.399999999994,5845,17661.6,0.555186170212766,0.7904191616766467,0.6522414512401877
136285,517221.12,128940,31153.880000000005,0.8139387936660828,0.5138467339051749,0.629980945023652
4366,29914.384,30230,3649.616,0.5446867714221839,0.12619956064284887,0.2049206488672009
19912,25754.51999999999,4113,27020.480000000003,0.42426907761959304,0.8288033298647243,0.5612375185815505
51522,401596.2,25207,33674.8,0.6047410231370192,0.6714801444043321,0.6363655452065081
120980,296902.712,108461,376.288000000015,0.9968993118840285,0.5272815233545879,0.689743074638593
22862,28521.160000000003,3059,22357.840000000004,0.5055745442708333,0.8819875776397516,0.6427250507584673
6640,52527.96,249,17383.04,0.27640132139812446,0.963855421686747,0.42960606935032436
11396,33629.432,17845,5289.567999999999,0.6829854398723496,0.389726753531001,0.49627048117333744
2550,41705.551999999996,18766,5138.448,0.3316664169413645,0.1196284481140927,0.17583509949922163
21609,26664.959999999992,0,28526.04,0.4310159122242647,1.0,0.6023915017888594
17472,30354.584000000003,16017,8476.416000000001,0.6733358984224701,0.5217235510167517,0.587912502791171
25217,23744.584000000003,3683,15515.415999999997,0.6190892285888469,0.8725605536332179,0.7242891012140094
42210,182765.296,1890,46414.704,0.4762780364265025,0.9571428571428572,0.6360534057020764
3344,44836.479999999996,4400,24219.52,0.12131977338162905,0.4318181818181818,0.189421403712297
22338,23689.320000000007,1071,29701.68,0.4292493727863046,0.954248366013072,0.5921375960454179
8134,37145.16,10635,12245.839999999997,0.3991199145822539,0.43337418083009216,0.4155423251365813
25340,185721.4,51389,25549.6,0.4979406401307929,0.3302532288965059,0.3971207958714482
34235,187933.136,7790,43321.864,0.44141805424211067,0.8146341463414634,0.572578463904861
