TP,TN,FP,FN,R,P,F1
14204,31036.864,3752,19167.136,0.425637293258461,0.791044776119403,0.55346941625576
18769,25374.72,0,32656.28,0.364976136250498,1,0.534772918819026
3760,50505.6,2640,19894.4,0.158955627705628,0.5875,0.250212947189097
9514,27357.9504,12986,673.049600000002,0.933930860609533,0.422844444444444,0.582126567948182
13398,37168.112,17578,15.8880000000008,0.998815555937249,0.432528409090909,0.603650993667747
22366,144190.536,22155,84568.464,0.209156142588417,0.502369668246445,0.295347548504424
50176,466052.096,0,112891.904,0.307700036421637,1,0.470597274377419
3696,166911.84,25204,77468.16,0.0455373406193078,0.127889273356401,0.0671608269213157
14036,22206.684,605,13398.316,0.511622013831145,0.958677685950413,0.667184531662222
24926,17626.48,17510,8097.52,0.754795370087744,0.587378640776699,0.660645601774302
22044,31249.4,5845,17661.6,0.555186170212766,0.790419161676647,0.652241451240188
136285,517221.12,128940,31153.88,0.813938793666083,0.513846733905175,0.629980945023652
4366,29914.384,30230,3649.616,0.544686771422184,0.126199560642849,0.204920648867201
19912,25754.52,4113,27020.48,0.424269077619593,0.828803329864724,0.56123751858155
51522,401596.2,25207,33674.8,0.604741023137019,0.671480144404332,0.636365545206508
120980,296902.712,108461,376.288000000015,0.996899311884028,0.527281523354588,0.689743074638593
22862,28521.16,3059,22357.84,0.505574544270833,0.881987577639752,0.642725050758467
6640,52527.96,249,17383.04,0.276401321398124,0.963855421686747,0.429606069350324
11396,33629.432,17845,5289.568,0.68298543987235,0.389726753531001,0.496270481173337
2550,41705.552,18766,5138.448,0.331666416941364,0.119628448114093,0.175835099499222
21609,26664.96,0,28526.04,0.431015912224265,1,0.602391501788859
17472,30354.584,16017,8476.416,0.67333589842247,0.521723551016752,0.587912502791171
25217,23744.584,3683,15515.416,0.619089228588847,0.872560553633218,0.724289101214009
42210,182765.296,1890,46414.704,0.476278036426502,0.957142857142857,0.636053405702076
3344,44836.48,4400,24219.52,0.121319773381629,0.431818181818182,0.189421403712297
22338,23689.32,1071,29701.68,0.429249372786305,0.954248366013072,0.592137596045418
8134,37145.16,10635,12245.84,0.399119914582254,0.433374180830092,0.415542325136581
25340,185721.4,51389,25549.6,0.497940640130793,0.330253228896506,0.397120795871448
34235,187933.136,7790,43321.864,0.441418054242111,0.814634146341463,0.572578463904861
,,,AVERAGE,0.501249726845488,0.639283331672302,0.500742814056043
